Item,Week,Price,Sales,Remaining Inventory,,,,,
15,8 ,60 ,70 ,1483 ,,,,,
15,9 ,60 ,44 ,1439 ,,,,,
15,10 ,36 ,181 ,1258 ,,,,,
15,11 ,36 ,116 ,1142 ,,,,,
15,12 ,36 ,152 ,990 ,,,,,
15,13 ,36 ,188 ,802 ,,,,,
15,14 ,36 ,244 ,558 ,,,,,
15,15 ,36 ,169 ,389 ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
